InvoiceNo,CustomerID,InvoiceDate,order_gmv,items,period
536365,17850,2010-12-01 08:26:00,139.12,40,pre
536366,17850,2010-12-01 08:28:00,22.200000000000003,12,pre
536367,13047,2010-12-01 08:34:00,278.73,83,pre
536368,13047,2010-12-01 08:34:00,70.05000000000001,15,pre
536369,13047,2010-12-01 08:35:00,17.85,3,pre
536370,12583,2010-12-01 08:45:00,855.86,449,pre
536371,13748,2010-12-01 09:00:00,204.0,80,pre
536372,17850,2010-12-01 09:01:00,22.200000000000003,12,pre
536373,17850,2010-12-01 09:02:00,259.86,88,pre
536374,15100,2010-12-01 09:09:00,350.4,32,pre
536375,17850,2010-12-01 09:32:00,259.86,88,pre
536376,15291,2010-12-01 09:32:00,328.8,112,pre
536377,17850,2010-12-01 09:34:00,22.200000000000003,12,pre
536378,14688,2010-12-01 09:37:00,444.98,454,pre
536380,17809,2010-12-01 09:41:00,34.8,24,pre
536381,15311,2010-12-01 09:41:00,449.98,198,pre
536382,16098,2010-12-01 09:45:00,430.6,134,pre
536384,18074,2010-12-01 09:53:00,489.6,190,pre
536385,17420,2010-12-01 09:56:00,130.85,53,pre
536386,16029,2010-12-01 09:57:00,508.20000000000005,236,pre
536387,16029,2010-12-01 09:58:00,3193.92,1440,pre
536388,16250,2010-12-01 09:59:00,226.14,108,pre
536389,12431,2010-12-01 10:03:00,358.25,107,pre
536390,17511,2010-12-01 10:19:00,1825.74,1568,pre
536392,13705,2010-12-01 10:29:00,318.14,103,pre
536393,13747,2010-12-01 10:37:00,79.6,8,pre
536394,13408,2010-12-01 10:39:00,1024.68,544,pre
536395,13767,2010-12-01 10:47:00,507.88000000000005,260,pre
536396,17850,2010-12-01 10:51:00,376.36,102,pre
536397,17924,2010-12-01 10:51:00,279.0,60,pre
536398,13448,2010-12-01 10:52:00,426.56,150,pre
536399,17850,2010-12-01 10:52:00,22.200000000000003,12,pre
536400,13448,2010-12-01 10:53:00,17.4,12,pre
536401,15862,2010-12-01 11:21:00,354.23,124,pre
536402,15513,2010-12-01 11:22:00,357.0,116,pre
536403,12791,2010-12-01 11:27:00,192.60000000000002,97,pre
536404,16218,2010-12-01 11:29:00,471.3,438,pre
536405,14045,2010-12-01 11:32:00,326.4,128,pre
536406,17850,2010-12-01 11:33:00,353.14,96,pre
536407,17850,2010-12-01 11:34:00,22.200000000000003,12,pre
536408,14307,2010-12-01 11:41:00,783.11,558,pre
536409,17908,2010-12-01 11:45:00,243.28,173,pre
536412,17920,2010-12-01 11:49:00,514.41,220,pre
536415,12838,2010-12-01 11:57:00,390.79,228,pre
536416,13255,2010-12-01 11:58:00,225.7,110,pre
536420,16583,2010-12-01 12:03:00,233.45,111,pre
536423,18085,2010-12-01 12:08:00,303.90000000000003,78,pre
536425,13758,2010-12-01 12:08:00,362.45,137,pre
536437,13694,2010-12-01 12:12:00,842.12,1004,pre
536446,15983,2010-12-01 12:15:00,440.89,329,pre
536460,14849,2010-12-01 12:22:00,295.54,158,pre
536463,14849,2010-12-01 12:22:00,17.4,12,pre
536464,17968,2010-12-01 12:23:00,277.35,160,pre
536466,14849,2010-12-01 12:23:00,42.9,18,pre
536477,16210,2010-12-01 12:27:00,2474.7400000000002,1070,pre
536488,17897,2010-12-01 12:31:00,165.89,72,pre
536500,17377,2010-12-01 12:35:00,223.9,102,pre
536502,16552,2010-12-01 12:36:00,95.29,39,pre
536508,17181,2010-12-01 12:38:00,155.52,216,pre
536514,17951,2010-12-01 12:40:00,295.5,118,pre
536520,14729,2010-12-01 12:43:00,313.49,197,pre
536521,12748,2010-12-01 12:48:00,4.95,1,pre
536522,15012,2010-12-01 12:49:00,191.06,86,pre
536523,12868,2010-12-01 12:50:00,203.3,112,pre
536524,17572,2010-12-01 12:51:00,70.80000000000001,24,pre
536525,14078,2010-12-01 12:54:00,136.24,29,pre
536526,14001,2010-12-01 12:58:00,301.24,94,pre
536527,12662,2010-12-01 13:04:00,261.48,157,pre
536528,15525,2010-12-01 13:17:00,313.93,124,pre
536529,14237,2010-12-01 13:20:00,161.0,38,pre
536530,17905,2010-12-01 13:21:00,201.75,72,pre
536531,15485,2010-12-01 13:23:00,950.09,416,pre
536532,12433,2010-12-01 13:24:00,1919.14,1852,pre
536533,16955,2010-12-01 13:31:00,156.1,80,pre
536534,15350,2010-12-01 13:33:00,115.65,51,pre
536535,15605,2010-12-01 13:38:00,194.85,71,pre
536536,18144,2010-12-01 13:45:00,165.04999999999998,95,pre
536537,15922,2010-12-01 13:51:00,369.5,138,pre
536538,14594,2010-12-01 13:54:00,255.0,146,pre
536539,15165,2010-12-01 14:03:00,487.75,160,pre
536540,14911,2010-12-01 14:05:00,540.38,231,pre
536541,14911,2010-12-01 14:05:00,15.0,12,pre
536542,16456,2010-12-01 14:11:00,787.4,392,pre
536551,17346,2010-12-01 14:34:00,146.61,88,pre
536556,17643,2010-12-01 14:38:00,101.55,71,pre
536557,17841,2010-12-01 14:41:00,537.38,199,pre
536559,17873,2010-12-01 14:54:00,215.15,129,pre
536560,13093,2010-12-01 15:00:00,799.4,256,pre
536561,12921,2010-12-01 15:06:00,322.40000000000003,140,pre
536562,13468,2010-12-01 15:08:00,308.65000000000003,99,pre
536563,17760,2010-12-01 15:08:00,172.54,165,pre
536564,13468,2010-12-01 15:08:00,51.4,12,pre
536566,16928,2010-12-01 15:21:00,116.25,93,pre
536567,16048,2010-12-01 15:27:00,251.40000000000003,132,pre
536568,16048,2010-12-01 15:28:00,5.04,12,pre
536569,16274,2010-12-01 15:35:00,357.95,155,pre
536570,14496,2010-12-01 15:35:00,304.34000000000003,86,pre
536571,14696,2010-12-01 15:37:00,294.62,284,pre
536572,16539,2010-12-01 15:40:00,442.35,301,pre
536573,17025,2010-12-01 15:45:00,143.12,136,pre
536574,17025,2010-12-01 15:46:00,17.85,3,pre
536575,13777,2010-12-01 16:01:00,1552.98,858,pre
536576,13777,2010-12-01 16:11:00,2558.42,1122,pre
536577,13777,2010-12-01 16:13:00,497.0,388,pre
536578,17690,2010-12-01 16:15:00,279.6,104,pre
536579,13777,2010-12-01 16:16:00,315.96000000000004,276,pre
536580,17690,2010-12-01 16:17:00,97.19999999999999,66,pre
536581,13777,2010-12-01 16:19:00,330.0,200,pre
536582,12947,2010-12-01 16:21:00,304.04,184,pre
536583,13777,2010-12-01 16:21:00,198.0,120,pre
536584,13777,2010-12-01 16:22:00,1132.8000000000002,384,pre
536585,17460,2010-12-01 16:24:00,19.9,2,pre
536586,18229,2010-12-01 16:25:00,344.2,44,pre
536587,14142,2010-12-01 16:33:00,311.81,313,pre
536588,17069,2010-12-01 16:49:00,277.05,103,pre
536590,13065,2010-12-01 16:52:00,205.86,74,pre
536591,14606,2010-12-01 16:57:00,159.26,81,pre
536591,14606,2010-12-01 16:58:00,39.06,12,pre
536593,16835,2010-12-01 17:15:00,81.75,19,pre
536594,15235,2010-12-01 17:22:00,79.5,34,pre
536595,13576,2010-12-01 17:24:00,349.15,108,pre
536597,18011,2010-12-01 17:35:00,102.78999999999999,71,pre
536598,13090,2010-12-02 07:48:00,160.6,76,pre
